type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_15704546335	15704546335_10157788395901336	https://www.facebook.com/15704546335/posts/10157788395901336/	"BREAKING: Sen. Rand Paul was awarded over $580 000 in damages by a Kentucky jury on Wednesday after he was attacked by his neighbor in the fall of 2017."	https://scontent.xx.fbcdn.net/v/t39.2147-6/c29.0.130.130a/p130x130/51645501_2289077368042361_248398673354948608_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=37ea484c087ec964ee9db80dc43f3c1e&oe=5CEA9A11	https://scontent.xx.fbcdn.net/v/t39.2147-6/51645501_2289077368042361_248398673354948608_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=a6b8d07c3c39ae3ee3a05ed275f18142&oe=5CB49A40	https://www.foxnews.com/politics/sen-rand-paul-awarded-over-580g-after-he-was-attacked-by-neighbor	foxnews.com	2019-01-30T23:57:02+0000	1548892622	"2019-01-31 00:57:02"	30959	2523	35173	3130	40826	3001	691	448	18	56	0
photo	post_page_15704546335	15704546335_10157786200126336	https://www.facebook.com/15704546335/posts/10157786200126336/	"On “Hannity” Tuesday night  Eric Trump said his father should declare national emergency and build a southern border wall if negotiations with congressional Democrats fail. https://fxn.ws/2TkuqNP"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/51006989_10157786199906336_871090638316109824_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=8b2be6cc96e658d4ae1da46701a2bbfc&oe=5CC0F650	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/50771253_10157786199911336_7897918139734687744_o.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=fcd09b349425154cabbfb31dfe59b9ab&oe=5CF24639	https://www.facebook.com/FoxNews/photos/a.184044921335/10157786199901336/?type=3	facebook.com	2019-01-30T23:35:31+0000	1548891331	"2019-01-31 00:35:31"	21139	5797	24613	1994	32404	2680	614	22	8	150	0
link	post_page_15704546335	15704546335_10157785867301336	https://www.facebook.com/15704546335/posts/10157785867301336/	" Who elected Mark Zuckerberg to referee these issues? Nobody.  — Peter Ferrara via Fox News Opinion"	https://external.xx.fbcdn.net/safe_image.php?d=AQDj8t2kx21VJE9y&w=130&h=130&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2FContentBroker_contentid-a76fa213fdef4576abd20006f04708f9.png&cfs=1&sx=607&sy=0&sw=1202&sh=1202&_nc_hash=AQA06Yppizf19jnm	https://external.xx.fbcdn.net/safe_image.php?d=AQD0bgcxXetAACda&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2FContentBroker_contentid-a76fa213fdef4576abd20006f04708f9.png&_nc_hash=AQBy1CIXAmKLWiHn	https://www.foxnews.com/opinion/no-one-elected-facebooks-mark-zuckerberg-to-referee-free-speech-his-companys-too-big-heres-how-to-fix-it	foxnews.com	2019-01-30T23:03:48+0000	1548889428	"2019-01-31 00:03:48"	3784	1920	4882	1045	7847	70	190	68	19	751	0
link	post_page_15704546335	15704546335_10157786295311336	https://www.facebook.com/15704546335/posts/10157786295311336/	"Former New Jersey Gov. Chris Christie told host Stephen Colbert on Tuesday s  The Late Show  that he would be a better president than Donald Trump."	https://external.xx.fbcdn.net/safe_image.php?d=AQDnYPMHU_zkL9Px&w=130&h=130&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2Fcolbert-christie.jpg&cfs=1&sx=320&sy=0&sw=720&sh=720&_nc_hash=AQAgsO2GX7HKxMx0	https://external.xx.fbcdn.net/safe_image.php?d=AQCp3AoXfr--fpXe&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2019%2F01%2Fcolbert-christie.jpg&_nc_hash=AQAOEQ7dfw2sN5ls	https://www.foxnews.com/entertainment/chris-christie-says-he-would-be-a-better-president-than-trump	foxnews.com	2019-01-30T22:26:14+0000	1548887174	"2019-01-30 23:26:14"	650	6878	11228	481	18587	32	8547	197	78	1724	0
video	post_page_15704546335	15704546335_10157787442371336	https://www.facebook.com/15704546335/posts/10157787442371336/	"TONIGHT: Don t miss Secretary of State Mike Pompeo and Sen. Lindsey Graham on  Hannity  at 9p ET on Fox News Channel."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/50914267_756392391396274_6829589477766201344_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=ae3838a269c024620f8059f2acdfde86&oe=5CC1582C	https://scontent.xx.fbcdn.net/v/t15.5256-10/50914267_756392391396274_6829589477766201344_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=85b1b4d9b5d6d0ea5f3ca4f9d8b43fb5&oe=5CFCC5DE	https://www.facebook.com/FoxNews/videos/756373591398154/	facebook.com	2019-01-30T22:01:09+0000	1548885669	"2019-01-30 23:01:09"	869	442	1017	131	1590	73	62	3	0	10	0
video	post_page_15704546335	15704546335_2534729496555629	https://www.facebook.com/FoxNews/videos/2534729496555629/	"Here is a live look of Milwaukee as the Midwest is facing a deadly and likely once-in-a-lifetime arctic deep freeze from the polar vortex. https://fxn.ws/2DJtkGc (Courtesy: WITI)"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/50836310_2534746156553963_6182379352693407744_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=4d2fd9238b18504833c06e7480204bd3&oe=5CB28DD4	https://scontent.xx.fbcdn.net/v/t15.5256-10/s12x12/50836310_2534746156553963_6182379352693407744_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=522e57757b9f9348f1d1d3a0aae0cf21&oe=5CEEACCA	https://www.facebook.com/FoxNews/videos/2534729496555629/	facebook.com	2019-01-30T21:29:41+0000	1548883781	"2019-01-30 22:29:41"	1926	5259	3961	831	10051	217	177	1438	171	32	0
video	post_page_15704546335	15704546335_10157787987806336	https://www.facebook.com/15704546335/posts/10157787987806336/	"Fox News shared a live video."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/50720404_402086817017337_7629329057049477120_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=a48868d8aaf1b7012c09064ec6e5d5ba&oe=5CB6B8BA	https://scontent.xx.fbcdn.net/v/t15.5256-10/50720404_402086817017337_7629329057049477120_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=017ef33bcffc4f4ecbdbe12d7ff120a6&oe=5CBA7248	https://www.facebook.com/FoxNewsUpdate/videos/402079080351444/	facebook.com	2019-01-30T21:06:25+0000	1548882385	"2019-01-30 22:06:25"	502	683	772	248	1703	6	26	143	73	22	0
link	post_page_15704546335	15704546335_10157787886051336	https://www.facebook.com/15704546335/posts/10157787886051336/	"The House Natural Resources Committee on Wednesday voted to keep  so help you God  in the oath administered to witnesses testifying before the panel  a day after Republicans denounced an apparent effort to strike the language."	https://external.xx.fbcdn.net/safe_image.php?d=AQC_iBxwYiSCtF8U&w=130&h=130&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2018%2F09%2Fap17311634206783.jpg&cfs=1&sx=183&sy=0&sw=400&sh=400&_nc_hash=AQAODX6rg0BSGLqS	https://external.xx.fbcdn.net/safe_image.php?d=AQCfHCZvvgww1JXW&url=https%3A%2F%2Fstatic.foxnews.com%2Ffoxnews.com%2Fcontent%2Fuploads%2F2018%2F09%2Fap17311634206783.jpg&_nc_hash=AQDRfAQ0NBUrLCdx	https://www.foxnews.com/politics/dems-wont-strike-so-help-you-god-from-house-committee-oath-after-outcry	foxnews.com	2019-01-30T20:36:00+0000	1548880560	"2019-01-30 21:36:00"	22631	3633	26589	6252	36474	3148	164	164	47	435	0
link	post_page_15704546335	15704546335_10157787550561336	https://www.facebook.com/15704546335/posts/10157787550561336/	"“The Catholic Church doesn’t believe in a woman’s right to choose. Yes  I understand their religious view ” Governor Andrew Cuomo said. “But I m not here to legislate religion.”"	https://external.xx.fbcdn.net/safe_image.php?d=AQBQLj2LAKZFDCQH&w=130&h=130&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F29%2F694940094001_5995930139001_5995932608001-vs.jpg&cfs=1&sx=317&sy=0&sw=720&sh=720&_nc_hash=AQBdCKD3_X2l-VuR	https://external.xx.fbcdn.net/safe_image.php?d=AQCDPprC0WSn4K4Z&url=https%3A%2F%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2019%2F01%2F29%2F694940094001_5995930139001_5995932608001-vs.jpg&_nc_hash=AQCJebo-8P2M4Jig	https://www.foxnews.com/politics/cuomo-defies-catholic-church-with-new-york-abortion-law-im-not-here-to-legislate-religion	foxnews.com	2019-01-30T20:06:03+0000	1548878763	"2019-01-30 21:06:03"	2018	17894	20102	4874	42870	163	163	425	1647	15686	0
video	post_page_15704546335	15704546335_10157787610311336	https://www.facebook.com/15704546335/posts/10157787610311336/	"Rail operators are heating tracks in Chicago to prevent rails from shrinking and cracking as a polar vortex settled in over the Midwest. https://fxn.ws/2BdgsX1"	https://scontent.xx.fbcdn.net/v/t15.5256-10/p130x130/50310252_2395048920726631_3215082015204311040_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=902c7925f47e428f73b139a60674d424&oe=5CC1F8AC	https://scontent.xx.fbcdn.net/v/t15.5256-10/50310252_2395048920726631_3215082015204311040_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=dd7012f149e24f658ba041bd3979b705&oe=5CF41B3A	https://www.facebook.com/FoxNews/videos/2395047904060066/	facebook.com	2019-01-30T19:36:07+0000	1548876967	"2019-01-30 20:36:07"	816	570	1460	801	2831	6	51	575	7	5	0
