type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_18468761129	18468761129_10156851565076130	https://www.facebook.com/18468761129/posts/10156851565076130/	"President Donald Trump is deploying thousands more soldiers to the U.S.-Mexico border."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/50883862_392949691458970_4023724748159582208_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=e579417e14aef1be10652ef3762edb89&oe=5CBABF23	https://scontent.xx.fbcdn.net/v/t15.5256-10/50883862_392949691458970_4023724748159582208_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=46f4ea7ce49cdc64a055b8561b77130e&oe=5CF4ECD1	https://www.facebook.com/HuffPost/videos/392976354789637/	facebook.com	2019-01-30T23:45:37+0000	1548891937	"2019-01-31 00:45:37"	139	676	778	160	1614	18	22	20	51	528	0
link	post_page_18468761129	18468761129_10156851598561130	https://www.facebook.com/18468761129/posts/10156851598561130/	"The congresswoman took a dig at the former Starbucks CEO’s political inexperience as he ponders a presidential run."	https://external.xx.fbcdn.net/safe_image.php?d=AQDiWrLOv2XVh_oF&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c5207e53b00007d026894d9.png%3Fcache%3Du8hh5ymtsk%26ops%3D1910_1000&cfs=1&sx=415&sy=0&sw=1000&sh=1000&_nc_hash=AQCt3T1ov4zPN_2a	https://external.xx.fbcdn.net/safe_image.php?d=AQDETNL-oiRq9VS1&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c5207e53b00007d026894d9.png%3Fcache%3Du8hh5ymtsk%26ops%3D1910_1000&_nc_hash=AQBWeQqTvmb1vTVT	http://huffp.st/SnQpLb3	huffp.st	2019-01-30T23:32:35+0000	1548891155	"2019-01-31 00:32:35"	830	445	1012	87	1544	117	56	4	2	3	0
link	post_page_18468761129	18468761129_10156851549526130	https://www.facebook.com/18468761129/posts/10156851549526130/	"Sleep experts share why this may be happening and some ways to stop it."	https://external.xx.fbcdn.net/safe_image.php?d=AQD549KiT9qVZWrG&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c50c48c2500004401c5949d.jpeg%3Fcache%3DD8EjgfIYqv%26ops%3D1910_1000&cfs=1&sx=492&sy=0&sw=1000&sh=1000&_nc_hash=AQC_DRckJUbpCsp_	https://external.xx.fbcdn.net/safe_image.php?d=AQAtjDzcnwvwU7Em&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c50c48c2500004401c5949d.jpeg%3Fcache%3DD8EjgfIYqv%26ops%3D1910_1000&_nc_hash=AQD4lMTcrYlaLVs9	http://huffp.st/5nrJXds	huffp.st	2019-01-30T23:04:06+0000	1548889446	"2019-01-31 00:04:06"	214	51	235	72	358	2	0	7	12	0	0
link	post_page_18468761129	18468761129_10156851490146130	https://www.facebook.com/18468761129/posts/10156851490146130/	" This is not rocket science. "	https://external.xx.fbcdn.net/safe_image.php?d=AQDnC536F9X7oDg1&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51a50520000063016bbf14.jpeg%3Fcache%3D4qohsxrhiy%26ops%3D1910_1000&cfs=1&sx=410&sy=0&sw=1000&sh=1000&_nc_hash=AQCNn58e16TVifHb	https://external.xx.fbcdn.net/safe_image.php?d=AQDwadj3ImaOaO_A&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51a50520000063016bbf14.jpeg%3Fcache%3D4qohsxrhiy%26ops%3D1910_1000&_nc_hash=AQDIGpJ_hxpJoBHC	http://huffp.st/i9wOJdb	huffp.st	2019-01-30T22:35:38+0000	1548887738	"2019-01-30 23:35:38"	3613	265	4206	856	5327	500	16	27	6	44	0
link	post_page_18468761129	18468761129_10156851432991130	https://www.facebook.com/18468761129/posts/10156851432991130/	"A diss of Tom Brady in a TV news caption just cost someone a job."	https://external.xx.fbcdn.net/safe_image.php?w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51e2b0360000110a681005.jpeg%3Fcache%3Dtcefcut2mb%26ops%3D1910_1000&cfs=1&sx=391&sy=0&sw=1000&sh=1000&_nc_hash=AQCV5IWGs7s3GNCE	https://external.xx.fbcdn.net/safe_image.php?d=AQBt3-GXiJPWQEy-&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51e2b0360000110a681005.jpeg%3Fcache%3Dtcefcut2mb%26ops%3D1910_1000&_nc_hash=AQC2Xm0gHKCTRqE2	http://huffp.st/ui3tXko	huffp.st	2019-01-30T22:03:27+0000	1548885807	"2019-01-30 23:03:27"	1232	902	2802	356	4060	90	1255	147	14	64	0
video	post_page_18468761129	18468761129_10156851374896130	https://www.facebook.com/18468761129/posts/10156851374896130/	"Zoos are frantically trying to protect their animals as freezing weather sweeps across the Midwest."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/51694396_300756807231894_864951068465823744_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=90785325e8e11697aa940f2d7e396023&oe=5CC1FE22	https://scontent.xx.fbcdn.net/v/t15.5256-10/51694396_300756807231894_864951068465823744_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=c0d4eea475079c407aae9d312c943ea5&oe=5CF13A79	https://www.facebook.com/HuffPost/videos/300783067229268/	facebook.com	2019-01-30T21:45:57+0000	1548884757	"2019-01-30 22:45:57"	147	34	313	90	437	18	1	25	119	3	0
link	post_page_18468761129	18468761129_10156851376796130	https://www.facebook.com/18468761129/posts/10156851376796130/	❤️❤️❤️	https://external.xx.fbcdn.net/safe_image.php?d=AQBoDwJViShTLZ-g&w=130&h=130&url=http%3A%2F%2Fi.huffpost.com%2Fgen%2F3852062%2Fimages%2Fo-SHANNON-MISKIMEN-facebook.jpg&cfs=1&sx=511&sy=0&sw=1000&sh=1000&_nc_hash=AQBnUbN7116b2Pq2	https://external.xx.fbcdn.net/safe_image.php?d=AQCkFCnQJ_BXK23x&url=http%3A%2F%2Fi.huffpost.com%2Fgen%2F3852062%2Fimages%2Fo-SHANNON-MISKIMEN-facebook.jpg&_nc_hash=AQAzmWAk6uXdia3b	http://huffp.st/GxtMwe2	huffp.st	2019-01-30T21:30:26+0000	1548883826	"2019-01-30 22:30:26"	3350	436	6537	698	7671	3087	5	18	73	4	0
link	post_page_18468761129	18468761129_10156851319856130	https://www.facebook.com/18468761129/posts/10156851319856130/	"The former New Jersey governor gets put on the defensive over his 2016 endorsement of Trump."	https://external.xx.fbcdn.net/safe_image.php?d=AQB7K_xggPN9lfOw&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51e2203600004807681004.png%3Fcache%3D19mztexcdh%26ops%3D1910_1000&cfs=1&sx=397&sy=0&sw=1000&sh=1000&_nc_hash=AQCd6FTXnPS_jRQq	https://external.xx.fbcdn.net/safe_image.php?d=AQAwA2SC8mdhdjn9&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5c51e2203600004807681004.png%3Fcache%3D19mztexcdh%26ops%3D1910_1000&_nc_hash=AQABwNzcq3o0SznJ	http://huffp.st/2o64ISY	huffp.st	2019-01-30T21:00:22+0000	1548882022	"2019-01-30 22:00:22"	623	130	924	48	1102	10	246	24	4	17	0
link	post_page_18468761129	18468761129_10156851248531130	https://www.facebook.com/18468761129/posts/10156851248531130/	"It s only the best day of the year. 👯"	https://external.xx.fbcdn.net/safe_image.php?d=AQDQLCYu6nsszrne&w=130&h=130&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5a5e6e60220000251ab4ebdf.jpeg%3Fops%3Dscalefit_960_noupscale&cfs=1&_nc_hash=AQDPHtJh6h8Q324G	https://external.xx.fbcdn.net/safe_image.php?d=AQA81RxiW2CEvYMW&url=https%3A%2F%2Fimg.huffingtonpost.com%2Fasset%2F5a5e6e60220000251ab4ebdf.jpeg%3Fops%3Dscalefit_960_noupscale&_nc_hash=AQBDuySZvopM-c1Q	http://huffp.st/HEUE6KF	huffp.st	2019-01-30T20:30:10+0000	1548880210	"2019-01-30 21:30:10"	320	71	394	39	504	42	27	3	0	2	0
video	post_page_18468761129	18468761129_10156851131021130	https://www.facebook.com/18468761129/posts/10156851131021130/	"Father-to-be Prince Harry expressed concerns for futures generations inheriting the planet."	https://scontent.xx.fbcdn.net/v/t15.5256-10/p130x130/51299294_316715265645382_2792823125836824576_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=3d07642b372f252a2622b521bee4a72f&oe=5CEEFEB6	https://scontent.xx.fbcdn.net/v/t15.5256-10/51299294_316715265645382_2792823125836824576_n.jpg?_nc_cat=1&_nc_ht=scontent.xx&oh=79b43e2cb0f07bf9c5329af6f26ed9bc&oe=5CFA9B57	https://www.facebook.com/HuffPost/videos/316770735639835/	facebook.com	2019-01-30T20:15:06+0000	1548879306	"2019-01-30 21:15:06"	256	44	322	33	399	57	2	0	6	1	0
